Provincia,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971
VI,0,0,0,0,0,0,2,5,9,10,14,22,26,31,40,46,55,65,81,86,140,195,247,350,458,583,701,817,938,1108,1213,1293,1352,1409,1520,1678,1783,1797,1817,2007,2193,2238,2317,2396,2441,2467,2495,2515,2571,2622,2643,2677,2873,3108,3415,3966,4676,6255,7397,8622,9443,10592,11836,13211,14957,17029,19535,22235,25080,28368,32140,35164
AB,0,0,0,0,0,0,0,0,1,1,1,2,25,39,47,51,60,68,73,89,191,274,383,673,879,1068,1348,1685,2124,2588,2846,2911,2949,3048,3232,3390,3458,3458,3459,3488,3557,3587,3640,3717,3767,3831,3928,4014,4109,4142,4155,4175,4213,4286,4710,5265,6400,7886,9549,11409,12889,15235,17407,19476,22138,24984,28260,31680,34736,38144,41238,43643
 A,0,0,0,0,0,0,0,2,6,12,30,46,77,101,121,131,148,178,190,217,403,533,732,1135,1633,2285,3030,3613,4280,5006,5395,5573,5741,6053,6525,7032,7299,7311,7312,7355,7458,7490,7592,7737,7846,7928,8094,8247,8399,8494,8519,8578,8651,8880,9577,10264,15111,20353,25153,30470,35940,45494,55043,65429,77026,89514,103710,117210,129680,144034,157741,169477
AL,0,0,0,0,0,0,0,2,11,30,32,35,36,50,64,69,73,75,80,87,140,190,251,375,500,653,980,1204,1367,1587,1777,1894,1950,2040,2168,2321,2370,2373,2374,2412,2431,2434,2449,2476,2491,2509,2541,2583,2646,2674,2699,2723,2774,2845,3009,3454,4567,5913,7284,8920,10019,11897,14325,16714,19478,22804,26313,29916,32935,36022,39152,41832
AV,0,0,0,0,0,0,0,0,9,15,16,24,33,38,46,52,56,63,67,71,98,122,170,224,286,336,394,493,598,707,767,800,818,861,905,979,1009,1017,1039,1058,1106,1114,1118,1125,1132,1143,1155,1170,1233,1249,1267,1277,1298,1321,1396,1549,1866,2246,2515,2859,3307,3770,4230,4791,5629,6603,7962,9470,10806,12341,13931,15151
BA,0,0,0,3,14,14,16,25,29,35,41,50,66,83,102,115,128,149,165,200,331,444,612,1029,1368,1793,2292,2810,3228,3736,4061,4203,4321,4631,4967,5391,5563,5571,5577,5597,5679,5685,5692,5713,5742,5757,5788,5843,5919,5972,6028,6080,6137,6338,6779,7377,8179,9584,10814,12257,13695,15809,18374,20722,23374,26473,30589,35271,40391,45828,50806,54650
IB,2,4,5,6,6,7,22,41,53,67,73,103,141,182,232,244,254,262,265,273,403,587,815,1229,1807,2351,3120,3597,4175,4845,5192,5379,5576,5930,6427,6809,7045,7063,7091,7096,7139,7182,7224,7285,7334,7370,7435,7537,7670,7728,7755,7816,8163,8962,10347,12928,18727,25004,31323,35274,40462,48596,58326,67982,77536,87327,100142,112339,124331,138762,154697,167861
 B,0,0,0,0,0,0,0,110,278,469,670,906,1247,1547,1861,2057,2372,2878,3359,4046,6436,7727,9759,12705,16109,19579,23730,27949,34697,41429,46165,48356,50764,54331,58900,63961,66925,67032,67097,67637,69080,69696,71284,72839,73769,74510,75592,76768,78432,79832,80845,81991,83607,87882,96487,109430,130340,155499,181632,204425,226299,263329,302971,346122,397942,454119,527551,599553,667942,750287,841788,918387
BU,0,0,0,0,0,0,0,0,2,2,6,9,18,28,31,35,36,45,52,54,100,172,245,341,450,625,820,1040,1325,1655,1858,1965,2057,2179,2374,2594,2719,2750,2798,2897,3029,3075,3158,3251,3285,3318,3427,3519,3643,3720,3804,3960,4146,4424,4761,5614,6874,8393,9731,10939,12052,13841,15640,17168,19185,21802,24809,28223,31864,35722,39751,43013
CC,1,1,1,1,3,5,6,12,19,20,22,29,34,51,65,69,71,82,89,98,140,195,292,532,747,1011,1286,1569,1818,2141,2342,2430,2478,2607,2777,2935,3024,3034,3047,3085,3149,3157,3165,3178,3189,3198,3205,3226,3280,3313,3354,3375,3422,3475,3628,3968,4770,5735,6564,7518,8474,9961,11535,12847,14419,16459,19003,21832,24857,28588,32024,34632
CA,0,2,3,7,8,8,8,14,19,24,31,59,84,112,147,167,192,236,252,293,613,770,999,1294,1530,1812,2136,2514,2843,3286,3596,3775,3918,4243,4711,5071,5174,5194,5221,5299,5467,5497,5563,5589,5621,5643,5677,5818,6061,6285,6388,6456,6622,6831,7775,9000,10834,13885,16687,19527,22302,26418,30911,35122,39736,45803,53739,62177,70872,79930,88390,95202
CS,0,0,0,0,0,0,0,0,0,7,9,10,16,26,31,38,43,50,54,56,111,169,263,428,623,928,1172,1355,1605,1981,2295,2480,2634,2831,3022,3315,3493,3498,3539,3674,3778,3822,3876,3969,4014,4068,4131,4199,4266,4304,4352,4408,4489,4627,5086,5610,8424,10164,13017,15390,15570,21755,26050,30060,34762,39032,44329,49567,53860,58216,62797,66651
CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,188,246,306,366,465,595,768,902,995,1053,1138,1243,1471,1567,1585,1610,1672,1699,1723,1774,1791,1799,1811,1835,1854,1905,1965,2105,2189,2363,2466,2594,2866,3543,3815,4105,4260,4691,5163,5490,5872,6311,7031,7719,8579,9539,10434,11278,11982
CR,0,0,0,0,0,0,0,3,5,5,7,9,11,16,22,31,37,45,58,62,86,114,164,326,506,743,1029,1335,1589,1920,2155,2217,2262,2359,2461,2606,2659,2661,2662,2667,2697,2704,2713,2722,2733,2747,2762,2794,2869,2925,2946,2968,3039,3206,3378,3727,4598,6091,6352,8742,10025,11914,13937,15779,17929,20560,23700,27091,30172,33375,36484,38983
CO,0,0,0,0,1,1,1,6,12,16,24,33,44,53,81,97,121,150,176,205,343,484,644,1045,1440,1964,2508,3022,3671,4332,4718,4853,4951,5008,5379,5777,5949,5955,5960,5993,6104,6125,6160,6211,6237,6260,6290,6325,6398,6531,6557,6607,6712,6877,7178,7878,10113,12974,15491,18117,20910,25050,29448,33809,38772,44178,51156,59135,67071,74911,81512,87012
 C,0,0,1,14,26,32,43,64,84,111,147,193,234,282,312,327,333,343,352,359,505,701,901,1194,1460,1706,2061,2469,2956,3475,3932,4190,4380,4633,4967,5288,5477,5488,5493,5532,5621,5670,5765,5858,5929,5985,6109,6185,6313,6454,6525,6618,6708,6908,7143,7500,10132,12999,15286,17789,19775,23083,26590,30457,35546,41872,50056,59058,67932,77450,87502,96074
CU,0,0,0,0,0,0,0,0,1,1,1,2,4,5,17,24,32,35,43,54,131,168,213,301,378,470,570,712,857,1003,1078,1105,1115,1161,1254,1361,1393,1401,1405,1428,1455,1456,1468,1499,1514,1531,1571,1618,1674,1702,1710,1716,1734,1784,1890,2050,2764,3545,4394,5123,5780,6648,7364,8003,9075,10342,11820,13565,15268,16985,18557,19728
GI,0,0,0,0,0,2,5,11,24,37,48,62,85,121,149,160,175,193,212,262,394,524,630,861,1264,1637,2105,2669,3303,3908,4392,4684,4892,5230,5622,6084,6372,6381,6383,6409,6484,6515,6645,6786,6939,7082,7249,7337,7534,7681,7777,7846,7941,8356,9198,10501,13707,17500,21500,26000,29562,34359,40386,45745,51563,58138,65901,73914,81130,89242,97945,105499
GR,0,0,0,0,1,3,7,25,34,45,60,73,99,116,130,140,160,189,208,226,419,525,629,860,1053,1330,1739,2043,2387,2818,3165,3311,3391,3566,3813,4099,4197,4203,4210,4273,4344,4369,4394,4429,4457,4481,4517,4554,4619,4665,4696,4741,4867,5147,5989,7014,8813,11329,13488,15803,17863,20978,23973,27489,31711,36493,42430,48633,53792,59099,64044,67971
GU,0,0,0,0,0,0,0,1,1,6,10,13,14,17,29,37,43,58,66,79,129,175,236,322,404,519,718,924,1135,1345,1475,1544,1601,1681,1788,1907,1977,1979,1981,1984,2031,2040,2055,2077,2092,2109,2143,2188,2233,2262,2293,2319,2365,2424,2546,2881,3560,4262,4925,5569,6083,6834,7631,8645,9942,11411,12961,14415,15699,17069,18395,19309
SS,0,36,65,81,98,114,208,344,450,515,579,667,772,865,931,971,1020,1097,1163,1286,1859,2191,2512,2992,3555,4233,4930,5731,6576,7358,7892,8170,8476,8923,9428,9921,10213,10299,10522,11291,11591,11642,11796,11913,12013,12113,12306,12459,12692,12867,12960,13149,13582,14435,15488,17470,20081,23356,26518,29213,31570,35785,40617,45752,51780,58043,65998,73576,81794,91534,102360,111638
 H,0,0,0,0,0,0,3,3,4,4,5,9,14,23,27,36,45,58,62,72,141,196,227,309,437,549,694,874,1056,1254,1410,1515,1587,1673,1821,1982,2046,2052,2064,2087,2150,2158,2168,2191,2209,2221,2245,2278,2357,2380,2390,2415,2447,2534,2753,3074,3872,4966,5822,6689,7716,9034,10289,11612,13465,15845,19143,22549,25612,28947,32316,34945
HU,0,0,0,0,0,0,2,5,8,18,30,38,43,54,63,67,72,80,81,112,153,224,321,416,535,670,817,1015,1220,1451,1640,1716,1757,1884,2035,2214,2332,2333,2347,2365,2430,2442,2470,2535,2588,2625,2734,2862,2951,3003,3030,3048,3083,3136,3243,3519,4896,6605,8109,9500,11074,13238,15340,17488,19677,22239,24869,27697,30508,33502,36328,38679
 J,0,0,0,0,0,0,2,5,12,13,16,20,28,45,68,101,133,167,194,218,436,584,745,1092,1379,1767,2358,3007,3835,4500,4863,4943,5030,5164,5365,5688,5817,5821,5824,5827,5912,5929,5956,6001,6041,6081,6148,6221,6384,6500,6540,6572,6643,6731,7008,7506,9000,10800,12500,13955,15558,17941,20821,23389,26834,30241,34545,39117,43119,47647,51932,54929
LE,0,0,0,0,0,0,0,4,6,7,13,16,20,31,40,51,62,70,74,85,146,198,283,509,663,845,1046,1290,1590,1896,2131,2308,2408,2583,2841,3108,3248,3258,3271,3308,3434,3469,3505,3559,3595,3637,3722,3856,4035,4128,4181,4257,4343,4454,4606,4914,6900,8816,10922,12896,14414,16566,19347,21732,24816,28887,33635,38719,43797,49239,54719,59044
 L,0,0,0,0,0,0,0,3,12,23,24,26,33,53,83,93,104,133,150,167,268,341,416,582,836,1087,1387,1869,2485,3133,3517,3693,3824,4012,4369,4649,4811,4819,4824,4895,4991,5018,5103,5163,5210,5264,5347,5465,5659,5764,5860,5918,5972,6060,6298,6937,9850,13049,15934,18099,20199,23844,28202,31871,35861,40117,45233,49983,55086,60784,66385,70917
LO,0,0,0,0,0,1,8,16,18,21,26,31,45,55,63,67,72,78,89,94,148,197,249,359,466,583,755,910,1101,1357,1521,1614,1678,1765,1914,2129,2261,2266,2282,2317,2378,2385,2408,2439,2458,2479,2499,2524,2596,2654,2694,2781,2896,3029,3220,3564,4473,5602,6546,7474,8232,9615,10913,12412,14278,16383,18930,21596,24090,26819,29670,32129
LU,0,0,0,0,4,6,6,14,19,25,29,38,51,68,79,84,93,97,102,103,159,219,297,430,532,648,849,1042,1239,1438,1618,1766,1841,1935,2076,2218,2302,2312,2319,2327,2373,2394,2424,2480,2510,2522,2560,2607,2666,2715,2738,2763,2791,2822,2892,3060,3955,5173,6225,7369,8205,9541,10830,12044,13567,15574,18259,21143,23728,26598,29590,32011
 M,0,0,0,0,0,0,0,146,433,748,1031,1330,1618,1957,2345,2594,2829,3144,3441,4108,6069,8032,9559,12149,15385,18115,21457,25439,30517,36170,40208,42027,43711,43854,51414,56328,58690,59010,59585,61096,64053,65612,67804,69683,71173,72423,74650,77146,80630,83634,86504,90435,97079,106001,118795,135310,161255,186858,212760,238212,264045,295395,329849,368159,418122,477322,556428,632703,711173,798142,885276,960985
