Provincia,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
VI, A0638, A4957, B0062, B5342, C1153, C7161, D4412, E0981, E6677, F1577, F6063, G1158, G7331, H2448, H8086, I4553, J2571, K1951, L2098, M0888, M9274, N8783, O5358, P7030, S7510, T7595, U0060, W3265, X8061, Y8538
AB, A0739, A4693, A9264, B3999, B8749, C3634, C8699, D4511, E0031, E4910, E9270, F3798, F8080, G1843, G6472, H1987, H9348, I8082, J8712, K9036, L8682, M8325, N5251, O2825, O9182, P6351, S5515, T6446, U9374, V8538
 A, A3753, C3538, E7393, H0823, J2556, L6849, O2858, T1074, T9394, Y4876,AB7535,AF1984,AH7904,AL3192,AP2576,AU7829,AZ4485,BG9962,BN9716,BV9458,CB0646,CG2426,CK5206,CP8969,CW3919,DC3788,DK4488,DU8145,EF6606,EN1794
AL, A0974, A5706, B0894, B6610, C2162, C7986, D4155, E1002, E7876, F3806, F9544, G5624, H2174, H8338, I5527, J4328, K7523, M2397, N8605, P3432, S7125, U1587, V2884, W6187, X8802, Z3669,AC1181,AF2195,AH6517,AK3434
AV, A0279, A2178, A4487, A6526, A8855, B1409, B0417, B7202, B9979, C2363, C4625, C6301, C8278, D0126, D2298, D4986, D8334, E2377, E6873, F1199, F5325, F9693, G2762, G6167, G9032, H2196, H5753, H9911, I4784, I8209
BA, A1227, A7028, B3484, B9620, C6164, D3209, E0513, E8114, F5175, G1998, G7919, H3580, H9253, I4243, J0173, J7724, K8561, M1000, N5647, P0222, S4245, T9267, U9066, V9410, W8442, X8436, Z1394,AB6703,AD5926,AG0032
IB, A3771, C3330, E5256, G0091, H3615, I8108, K4468, M4858, O8253, T0746, V2686, X5547, Z9955,AD4484,AH1527,AK8776,AS0714,AW6888,BC1070,BG7161,BK8135,BP1131,BT9225,BY2086,CD9700,CL2625,CU1229,DB5500,DK9480,DT5745
 B, C0003, N3799,AD9768,AV5529,BK1644,BZ4360,CS7224,DH3314,DX6873,EM0171,EY8904,FM0529,FZ4251,GM1439,HB5679,HU4192,IS8808,JU4439,KY1343,LY5394,MX1288,NW4123,ON0158,PH3114,PZ9408,SV7804,TV1802,UY1949,WH5972,XG4819
BU, A0806, A5416, B1037, B6837, C2907, C9774, D7265, E4397, F1250, F7210, G2190, G7412, H3150, H9104, I5687, J3427, K2967, L3381, M4770, N5170, O5036, P6430, S4651, T4200, U2361, V1410, W2080, X4814, Y9565, Z9509
CC, A0707, A4189, A8187, B2178, B6592, C1267, C6324, D1505, D6562, E1272, E5132, E8844, F2894, F6695, G1301, G6624, H3363, I1577, J1072, K0859, L0304, M0930, M8361, N6155, O2694, O9893, P8613, S8834, U1137, U9834
CA, A2093, B3051, C5288, D8290, E9791, G1616, H3677, I6590, J9250, L2602, M4641, N7181, O9687, S1496, T4956, V1694, X6295,AB6302,AG1442,AK2530,AM9330,AS7415,AU6238,AW6581,AY5004,BB6832,BF4075,BJ6992,BN7172,BT6701
CS, A1232, A7393, B5480, C4955, D3716, E2987, F3839, G4972, H5855, I5665, J3985, K2860, L2600, M1758, N1132, O2963, P9313, T8283, V9793, X8621, Z4957,AC2643,AD5607,AG1714,AH7254,AK4272,AM4152,AP8056,AU6468,AW6737
CE, A0166, A1250, A2504, A3792, A5166, A7107, A9084, B1218, B3444, B5679, B8356, C0809, C2660, C4088, C5530, C7227, C9590, D2291, D5288, D8353, E5739, E8516, F0753, S2909, F5018, F7535, G0686, G4516, G8455, H1131
CR, A0801, A1250, B1505, B6966, C3035, C9190, D5251, E1663, E8104, F4581, G0043, G5595, H1185, H6330, I1601, I7616, J6111, K6936, L9784, N2111, O3993, P5957, S3701, T1945, T9321, U7879, V8380, X0847, Y5459, Z5805
CO, A1746, B0792, C1253, D1866, E1552, F1420, G2503, H3404, I4352, J4601, K3353, L2148, M1689, M9968, N9549, P1165, S7501, U7436, X0346, Z2258,AC2543,AF4554,AG9572,AJ5535,AK8996,AM4690,AP4437,AT6976,AW3055,AY2155
 C, A2267, B5415, D0428, E7403, G5129, I3920, K6397, M7153, O7118, S6087, U2493, W0098, X9803, Z5763,AC3663,AF3889,AJ1023,AM2015,AS5183,AV7028,AY7352,BC9929,BG5681,BK3940,BM9558,BS8532,BW1267,BZ8358,CG1846,CK1397
CU, A0332, A2196, A4616, A7070, A9651, B2249, B5343, B8812, C1781, C4451, C6756, C9138, D1405, D3665, D6318, D9356, E3554, E8815, F5159, G0954, G6157, H1503, H5233, H9253, I2863, I6495, J1032, J6542, K2960, K7433
GI, A2489, B4653, C8741, E2760, F5547, G9392, I4782, K1359, L7392, N1182, O4253, P7811, T2540, U6551, W2595, Y2576,AB8539,AF8063,AJ8827,AM4902,AP7271,AU0592,AV8034,AX7892,AZ7271,BC8735,BG5382,BK7464,BP4080,BT8826
GR, A1244, A7266, B4251, C1845, C8994, D6236, E3985, F2768, G1722, H0790, H9017, I7560, J0725, K5122, L4946, M7384, O4904, S5621, V0077, X3768, Z5989,AD0239,AF6988,AH4833,AK0049,AL7947,AP0380,AT7565,AW9160,AZ1874
GU, A0299, A1870, A3677, A5500, A7396, A9370, B1750, B4240, B6582, B8776, C0430, C2410, C4405, C6384, C8663, D1458, D5302, D9541, E4290, E9060, F3399, F8026, G1277, G4844, G7910, H1198, H5178, H9880, I5864, J0333
