year,1,2,3,4,5,6,7,8,9,10,11,12
2000,,,,,,,,,9263BBJ,3356BCD,2736BCY,5269BDR
2001,4795BFJ,3229BGF,2731BHG,5412BJC,6778BKB,4874BLC,4959BMF,2120BMW,3430BNL,5385BPG,0592BRB,9902BRT
2002,6587BSL,1647BTF,9656BTZ,1974BVW,0503BWT,5032BXP,9036BYP,4663BZF,3684BZV,7042CBP,9549CCH,5896CDC
2003,2079CDV,5301CFM,7114CGJ,7918CHF,1886CJF,4989CKB,9974CLD,2563CLV,0231CMM,0879CNK,3575CPF,1135CRC
2004,8436CRV,0913CSS,7282CTT,9468CVR,0300CWR,5814CXT,1758CYY,7243CZP,8990DBJ,0183DCH,2594DDG,4655DFF
2005,6154DFZ,4970DGX,4167DHZ,4187DKB,1611DLD,7710DMJ,4002DNP,2141DPK,2052DRG,4329DSC,8241DTB,6587DVB
2006,8319DVW,9757DWT,7647DXZ,8793DYY,8717FBC,8944FCJ,2356FDP,2904FFK,4547FGF,3960FHD,1113FJD,0535FKC
2007,3949FKY,9188FLV,7446FNB,0586FNZ,9596FRC,3693FSJ,2263FTP,7285FVJ,5369FWC,5989FXB,6382FXY,2265FYY
2008,9610FZR,1153GBN,2101GCK,2298GDH,8201GFC,0695GFY,7106GGV,8157GHG,7891GHT,1517GJJ,1647GJV,5062GKH
2009,4383GKS,7185GLC,9879GLP,2508GMC,9809GMN,8771GNF,3626GNY,4877GPJ,9050GPW,7825GRM,1588GSC,8384GSR
2010,9629GTC,5738GTS,2900GVM,7669GWC,3166GWV,3138GXP,6536GYD,1532GYM,3091GYX,0401GZJ,9044GZT,1048HBG
2011,3902HBP,2355HCB,0126HCR,7410HDC,4434HDR,8856HFF,6720HFT,3618HGC,3513HGM,4397HGX,9121HHH,5354HHT
2012,6656HJC,8733HJM,6052HKB,1066HKL,5749HKX,2863HLK,2263HLW,9979HMD,2822HML,7453HMT,1971HNC,6667HNK
2013,0994HNT,3681HPC,3671HPN,5848HPY,7469HRK,3651HRX,4223HSK,0421HSS,4851HSZ,9158HTK,2381HTV,1481HVF
2014,2881HVN,0909HVZ,3816HWM,0049HXB,9245HXN,6108HYD,0768HYT,4872HZB,6484HZL,3987HZZ,2431JBL,2463JBY
2015,2017JCK,2264JCY,7952JDR,1716JFG,0041JFX,0838JGR,5705JHJ,6763JHT,0425JJH,6762JJW,9863JKK,7970JKZ
2016,7694JLM,8987JMC,2746JMW,3992JNN,8076JPG,0263JRG,4494JRX,1741JSL,5359JSZ,0201JTP,4906JVF,0153JVZ
2017,0993JWM,7315JXD,2687JYB,2017JYT,5200JZN,5020KBM,2665KCF,0960KCV,8300KDJ,7622KDP,1845KFV,0687KGN
2018,0765KHG,9175KHY,9691KJV,0032KKR,5088KLN,3178KMM,7469KNK,1606KPC,9576KPZ,5823KRJ,7030KRZ,4340KSS
2019,7164KTJ,6728KVB,6823KVX,3446KWT,1419KXR,3283KYN,2757KZK,4186KZY,3883LBL,1430LCC,4936LCY,1414LDP
2020,0000LFB,0000LFW,1817LGG,0000LGH,0000LGN,0000LHD,0167LJD,3041LJR,5096LKB,1582LKT,0000LLG,0000LMC
2021,0210LMH,8885LMW,0938LNC,0000LPB,9312LPR,3783LPZ,5900LRS,5000LSR,5000LTD,5000LTP,5000LVD,5000LVV
2022,5000LWD,5000LWR,5000LXD,5000LXS,5000LYJ,5000LYZ,5000LZP,5000LZZ,5000MBN,5000MBZ,5000MCR,5000MDF
2023,5000MDS,5000MFG,5000MFZ,5000MGN,5000MHB,5000MHY,5000MJR,5000MKD,5000MKP,5000MLH,5000MLY,5000MMN
2024,5000MNC,5000MNT,5000MPL,5000MRD,5000MRX,5000MSS,5000MTK,5000MTW,5000MVL,5000MWD,5000MWV,5000MXP
2025,5000MYF,5000MYW,5000MZB,5000NBL,5000NCJ,5000NDG,5000NFC,5000NFR,5000NGJ,5000NHD,5000NHX,5000NJS
2026,5000NKH,5000NLB,5000NFL,9999ZZZ
